Ejercicio,q,nombreQ,idMunicipio,programa,subPrograma,nombre,noLocalidad,ejecutor,obraOAccion,modalidad,situacion,federal,estatal,municipal,beneficiarios,otros,meta,metaCantidad,tipoBeneficiario,numeroMujeres,numeroHombres,fechaInicio,fechaTermino,tieneProyecto,tieneExpTec,coordenadas - descripcion,coordenadas - geometria,coordenadas - tipoCoordenada,coordenadas - esCentroDeObra,estatus,porcentajeAvance,idRubro,idEjeEstrategico
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,COMIDA CASTAÑEDA,0164,SDES,2,AD,IT,0,"$20,700.00",0,1,0,PERSONAS,1,PERSONA,1,0,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,POSTRECITOS JANA,0001,SDES,2,AD,IT,0,"$19,856.00",0,1,0,PERSONAS,1,PERSONA,1,0,43831,44196,No,No,PENJAMO_PENJAMO_1102300010338,"[20.39247106569587942,-101.69235214563772729]",point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,TAQUERIA DON ROGE,0001,SDES,2,AD,IT,0,"$29,399.00",0,2,0,PERSONAS,2,PERSONA,0,2,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,CENADURIA VENE,,SDES,2,AD,IT,0,"$17,556.02",0,1,0,PERSONAS,1,PERSONA,1,0,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,HERRERIA VAZQUEZ,,SDES,2,AD,IT,0,"$43,174.07",0,2,0,PERSONAS,2,PERSONA,0,2,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,POLLERIA SANTA CECILIA,,SDES,2,AD,IT,0,"$36,190.00",0,3,0,PERSONAS,3,PERSONA,2,1,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,CONSTRUCCIONES HERNANDEZ,,SDES,2,AD,IT,0,"$20,799.99",0,1,0,PERSONAS,1,PERSONA,0,1,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,CONSTRUCTORA MENDEZ,,SDES,2,AD,IT,0,"$19,499.99",0,1,0,PERSONAS,1,PERSONA,0,1,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,SERVICIOS DE CONSTRUCCION VAZQUEZ,,SDES,2,AD,IT,0,"$19,499.99",0,1,0,PERSONAS,1,PERSONA,0,1,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,HERRERIA ENRIQUEZ,,SDES,2,AD,IT,0,"$28,300.00",0,1,0,PERSONAS,1,PERSONA,0,1,43831,44196,No,No,,,point,true,TERMINADA,100,,1
2020,Q0324,YO EMPRENDO,,Q0324,Q0324,CARPINTERIA MEDINA,,SDES,2,AD,IT,0,"$24,192.00",0,1,0,PERSONAS,1,PERSONA,0,1,43831,44196,No,No,,,point,true,TERMINADA,100,,1
